dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
heart,0.04101039588533139,22.0,56.0,20.0,0.7541170466235464,0.7658934874519996
heart,0.08373883555532845,27.0,19.0,57.0,0.607314043921362,0.5
heart,0.044483251230115185,28.0,7.0,27.0,0.7242335895278368,0.7251270315348513
heart,0.08123959883573634,6.0,36.0,49.0,0.607314043921362,0.7251270315348513
heart,0.07995534416071731,14.0,32.0,44.0,0.607314043921362,0.7251270315348513
heart,0.07340280179855684,28.0,11.0,13.0,0.6757958921061805,0.7251270315348513
heart,0.061707935850231634,23.0,22.0,53.0,0.6757958921061805,0.7251270315348513
heart,0.05434030676903126,28.0,30.0,51.0,0.6757958921061805,0.7251270315348513
heart,0.09554779863099283,21.0,52.0,26.0,0.5,0.5
heart,0.0003630307254743227,25.0,45.0,17.0,0.7839812331053467,0.7732826500135759
heart,0.033563223503131255,1.0,60.0,2.0,0.6757958921061805,0.7251270315348513
heart,0.01962006844669078,30.0,58.0,56.0,0.7541170466235464,0.7658934874519996
heart,0.01251816448100166,21.0,60.0,2.0,0.7571445147246871,0.7658934874519996
heart,0.0,19.0,10.0,2.0,0.7273466612693547,0.743202358325899
heart,0.044455867835881506,1.0,1.0,2.0,0.6757958921061805,0.7251270315348513
heart,0.0,30.0,60.0,38.0,0.7847747251482499,0.7786548233194989
heart,0.0,20.0,60.0,2.0,0.7847747251482499,0.7786548233194989
heart,0.025083194683682388,30.0,1.0,27.0,0.7541170466235464,0.7658934874519996
heart,0.034084295998977686,30.0,60.0,5.0,0.7541170466235464,0.7658934874519996
heart,0.0,30.0,36.0,2.0,0.7862906174355703,0.7699662542182227
heart,0.0,1.0,60.0,60.0,0.6757958921061805,0.7251270315348513
heart,0.0,27.0,60.0,2.0,0.7847747251482499,0.7786548233194989
heart,0.0,30.0,1.0,60.0,0.7634395967700073,0.7816221248206044
heart,0.010121742523600551,30.0,24.0,60.0,0.7642801892296376,0.7658934874519996
heart,0.030766441365190845,21.0,36.0,60.0,0.7541170466235464,0.7658934874519996
heart,0.0,30.0,46.0,60.0,0.7839812331053467,0.7726814320623715
heart,0.0,24.0,60.0,60.0,0.7847747251482499,0.7786548233194989
heart,0.00559544710023619,30.0,60.0,2.0,0.781350609036409,0.7858112563515767
heart,0.002489439867353869,23.0,60.0,2.0,0.7820831978984767,0.7732632558861177
heart,0.0,30.0,48.0,2.0,0.7798356583523787,0.7720802141111671
heart,0.05752048547983614,1.0,60.0,40.0,0.6757958921061805,0.7251270315348513
heart,0.0,25.0,60.0,2.0,0.7847747251482499,0.7786548233194989
heart,0.06747558934446092,1.0,1.0,17.0,0.6757958921061805,0.7251270315348513
heart,0.028812206227763655,16.0,1.0,51.0,0.7541170466235464,0.7658934874519996
heart,0.03729070309645938,19.0,1.0,3.0,0.7541170466235464,0.7658934874519996
heart,0.0982244933694332,2.0,2.0,45.0,0.5,0.5
heart,0.017203128819638352,2.0,5.0,59.0,0.7541170466235464,0.7658934874519996
heart,0.016966304868717134,14.0,1.0,37.0,0.7541170466235464,0.7658934874519996
heart,0.0020292424332456387,26.0,60.0,60.0,0.7820831978984767,0.7762887397695979
heart,0.017347277812393976,6.0,59.0,30.0,0.7541170466235464,0.7658934874519996
heart,0.0026342139567560596,30.0,44.0,2.0,0.7846493033899847,0.7687832124432723
heart,0.0,23.0,60.0,60.0,0.7847747251482499,0.7786548233194989
heart,0.0,24.0,60.0,2.0,0.7847747251482499,0.7786548233194989
heart,0.02628021310150916,3.0,2.0,8.0,0.7541170466235464,0.7658934874519996
heart,0.006680589456562113,14.0,60.0,3.0,0.7764452356865738,0.7858112563515767
heart,0.02130122088508167,10.0,28.0,11.0,0.7541170466235464,0.7658934874519996
heart,0.0022058337494139406,20.0,60.0,60.0,0.7820831978984767,0.7732632558861177
heart,0.0023363102242447897,30.0,40.0,60.0,0.787137009781425,0.7683177533842753
heart,0.03413581112417316,30.0,1.0,54.0,0.7541170466235464,0.7658934874519996
heart,0.07081128625630344,30.0,60.0,50.0,0.6757958921061805,0.7251270315348513
heart,0.036271311606048705,15.0,59.0,53.0,0.7541170466235464,0.7658934874519996
heart,0.0025065515957900155,30.0,40.0,60.0,0.7866172727683537,0.7683177533842753
heart,0.0019620973019160728,30.0,26.0,60.0,0.7663333312010995,0.77064504867926
heart,0.010895938293605292,13.0,44.0,2.0,0.7571445147246871,0.7658934874519996
heart,0.021112620331965565,30.0,35.0,60.0,0.7541170466235464,0.7658934874519996
heart,0.0,26.0,38.0,60.0,0.7882698948043805,0.7697529188161825
