dataset,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,cv_roc_auc,test_roc_auc
heart,0.04101039588533139,22.0,56.0,20.0,0.6459067309719587,0.7715953609247121
heart,0.08373883555532845,27.0,19.0,57.0,0.5433333333333333,0.5
heart,0.044483251230115185,28.0,7.0,27.0,0.7426813857263336,0.7715953609247121
heart,0.08123959883573634,6.0,36.0,49.0,0.6015441176470588,0.7251270315348513
heart,0.07995534416071731,14.0,32.0,44.0,0.6015441176470588,0.7251270315348513
heart,0.07340280179855684,28.0,11.0,13.0,0.6636356209150327,0.7251270315348513
heart,0.061707935850231634,23.0,22.0,53.0,0.6636356209150327,0.7251270315348513
heart,0.05434030676903126,28.0,30.0,51.0,0.6870731209150328,0.7251270315348513
heart,0.09554779863099283,21.0,52.0,26.0,0.5,0.5
heart,0.0003630307254743227,25.0,45.0,17.0,0.737337128399747,0.7620534502152748
heart,0.04602962424088009,30.0,1.0,6.0,0.7181715818047648,0.7251270315348513
heart,0.017086257317945965,30.0,1.0,60.0,0.7407311432637572,0.7715953609247121
heart,0.014376937193653613,1.0,19.0,37.0,0.6636356209150327,0.7251270315348513
heart,0.036473252821678376,30.0,1.0,58.0,0.7426813857263336,0.7715953609247121
heart,0.0,30.0,1.0,2.0,0.6213028410288847,0.6366704161979753
heart,0.0,30.0,48.0,60.0,0.6685427208517817,0.7620534502152748
heart,0.03392273012026636,30.0,8.0,44.0,0.7426813857263336,0.7715953609247121
heart,0.0,30.0,60.0,2.0,0.6354900643052921,0.7614716263915287
heart,0.011661519695260872,25.0,60.0,60.0,0.6354900643052921,0.7689965478453125
heart,0.0038417135175295896,29.0,39.0,7.0,0.7451915981446341,0.763857104068888
heart,0.04102549142024343,30.0,25.0,2.0,0.7426813857263336,0.7715953609247121
heart,0.0,1.0,45.0,2.0,0.6667350569259963,0.7251270315348513
heart,0.021874370863156384,23.0,31.0,22.0,0.7426813857263337,0.7715953609247121
heart,0.010272034637061448,30.0,37.0,20.0,0.7558554053341767,0.763857104068888
heart,0.05075152111421645,1.0,1.0,26.0,0.6636356209150327,0.7251270315348513
heart,0.0,30.0,31.0,26.0,0.7428941334598355,0.7706256545518018
heart,0.03755223811125863,30.0,22.0,23.0,0.7426813857263336,0.7715953609247121
heart,0.026765164586359236,30.0,36.0,10.0,0.7644305423782417,0.7715953609247121
heart,0.03608434515762617,30.0,36.0,15.0,0.7246021110056926,0.7715953609247121
heart,0.017436964980189568,30.0,32.0,2.0,0.7426813857263337,0.7715953609247121
heart,0.02019773276673587,30.0,21.0,60.0,0.7426813857263336,0.7715953609247121
heart,0.048280907247902974,1.0,31.0,2.0,0.6636356209150327,0.7251270315348513
heart,0.028058095538596447,1.0,42.0,60.0,0.6686754164031204,0.7251270315348513
heart,0.01854374827262335,30.0,32.0,31.0,0.7426813857263337,0.7715953609247121
heart,0.0,30.0,15.0,60.0,0.7461661922833649,0.759706760792832
heart,0.022744486111896035,30.0,11.0,60.0,0.7426813857263336,0.7715953609247121
heart,0.0,12.0,1.0,60.0,0.7268953589500317,0.755847329428649
heart,0.016218724778432624,30.0,38.0,12.0,0.7495302946447396,0.7715953609247121
heart,0.02960687804196417,16.0,1.0,60.0,0.7426813857263336,0.7715953609247121
heart,0.0,20.0,22.0,60.0,0.7414684798650644,0.773011132229161
heart,0.1,1.0,1.0,2.0,0.5,0.5
heart,0.01846432932867997,30.0,37.0,2.0,0.7537107974910393,0.7715953609247121
heart,0.018404622522827086,21.0,39.0,2.0,0.7504428236348302,0.7715953609247121
heart,0.018235165843887586,20.0,11.0,60.0,0.7426813857263336,0.7715953609247121
heart,0.013024826222104824,24.0,37.0,15.0,0.7558554053341767,0.7715953609247121
heart,0.0,1.0,60.0,60.0,0.6354900643052921,0.7236530778480278
heart,0.04252881643817365,21.0,15.0,2.0,0.7426813857263336,0.7715953609247121
heart,0.0,21.0,34.0,2.0,0.751370440649378,0.7706256545518018
heart,0.0,19.0,35.0,31.0,0.7562334624710099,0.7679492649625694
heart,0.04575234850450894,20.0,1.0,60.0,0.7181715818047648,0.7251270315348513
heart,0.007586739287900256,23.0,36.0,17.0,0.7616501291376765,0.763857104068888
heart,0.0,15.0,34.0,60.0,0.751370440649378,0.7706256545518018
heart,0.0,25.0,30.0,60.0,0.7439153752899008,0.7680074473449439
heart,0.016245932967767458,20.0,34.0,60.0,0.751147809930424,0.7715953609247121
heart,0.009122849603080746,18.0,39.0,31.0,0.7525874314779676,0.763857104068888
heart,0.0313926212386728,16.0,25.0,60.0,0.7426813857263336,0.7715953609247121
heart,0.007142382343493483,22.0,36.0,25.0,0.7616501291376765,0.763857104068888
heart,0.006863736060085152,22.0,36.0,25.0,0.7616501291376765,0.763857104068888
heart,0.03903194888896913,21.0,30.0,2.0,0.7181715818047648,0.7715953609247121
heart,0.025958677316443024,30.0,44.0,2.0,0.6896517235926628,0.7715953609247121
heart,0.05890595577613035,2.0,59.0,4.0,0.5,0.7236530778480278
heart,0.0,21.0,37.0,21.0,0.7410802761965002,0.7679492649625694
heart,0.01272648665243964,22.0,33.0,29.0,0.751147809930424,0.7715953609247121
heart,0.011346715639449804,30.0,25.0,2.0,0.7383493437697659,0.7715953609247121
heart,0.011368366897073191,24.0,34.0,17.0,0.7556412739827113,0.7715953609247121
heart,0.010984178212490916,24.0,35.0,17.0,0.7616501291376765,0.7715953609247121
heart,0.0,30.0,1.0,60.0,0.7268953589500317,0.755847329428649
heart,0.04133274937866937,30.0,14.0,2.0,0.7426813857263336,0.7715953609247121
heart,0.031871518499381885,22.0,16.0,34.0,0.7426813857263336,0.7715953609247121
heart,0.021277428401727187,1.0,1.0,60.0,0.6636356209150327,0.7251270315348513
heart,0.03955117126506482,15.0,1.0,2.0,0.7426813857263336,0.7715953609247121
heart,0.029641228495349066,20.0,1.0,34.0,0.7426813857263336,0.7715953609247121
heart,0.026184955985808514,18.0,39.0,60.0,0.7504428236348302,0.7715953609247121
heart,0.0,1.0,1.0,2.0,0.6636356209150327,0.7251270315348513
heart,0.0,14.0,42.0,60.0,0.7532553236348303,0.7661068228540399
heart,0.012166306464841759,16.0,37.0,60.0,0.7558554053341767,0.7715953609247121
heart,0.012267438507483516,17.0,39.0,39.0,0.7525874314779676,0.7715953609247121
heart,0.0,17.0,43.0,2.0,0.7482512386675101,0.7620534502152748
heart,0.007203231517317075,24.0,36.0,2.0,0.7616501291376765,0.763857104068888
heart,0.007048919824312378,24.0,36.0,2.0,0.7616501291376765,0.763857104068888
heart,0.03445121178410994,12.0,11.0,2.0,0.7426813857263336,0.7715953609247121
heart,0.007216721160022702,24.0,36.0,2.0,0.7616501291376765,0.763857104068888
heart,0.007167801491838198,24.0,36.0,2.0,0.7616501291376765,0.763857104068888
heart,0.009429032352752768,14.0,32.0,2.0,0.7395056530676788,0.763857104068888
heart,0.007614015647126692,24.0,37.0,2.0,0.7484761095298335,0.763857104068888
heart,0.0,23.0,37.0,2.0,0.7410802761965002,0.7679492649625694
heart,0.010990518478683667,16.0,36.0,60.0,0.7616501291376765,0.7715953609247121
heart,0.012153486122983033,16.0,36.0,60.0,0.757156665085389,0.7715953609247121
heart,0.008580843980421604,18.0,38.0,60.0,0.7495302946447396,0.763857104068888
heart,0.010805929784391946,21.0,38.0,18.0,0.7495302946447396,0.7715953609247121
heart,0.014468314212878487,14.0,35.0,60.0,0.757156665085389,0.7715953609247121
heart,0.013316579066344494,26.0,34.0,10.0,0.751147809930424,0.7715953609247121
heart,0.015372246863646098,22.0,1.0,60.0,0.7458353099304237,0.7715953609247121
heart,0.01233425389885912,15.0,37.0,44.0,0.7558554053341767,0.7715953609247121
heart,0.0,9.0,36.0,60.0,0.7562334624710099,0.7679492649625694
heart,0.0,13.0,36.0,60.0,0.7562334624710099,0.7679492649625694
heart,0.0097374124277643,13.0,37.0,60.0,0.7558554053341767,0.763857104068888
heart,0.0,13.0,38.0,43.0,0.734755165507063,0.7670377409720337
heart,0.01201774404965142,15.0,32.0,60.0,0.7358291824794435,0.7715953609247121
heart,0.012386747401870946,25.0,35.0,12.0,0.757156665085389,0.7715953609247121
diabetes,0.04101039588533139,22.0,56.0,20.0,0.5,0.7043582089552239
diabetes,0.08373883555532845,27.0,19.0,57.0,0.7228415559772298,0.6012537313432835
diabetes,0.044483251230115185,28.0,7.0,27.0,0.7380218216318785,0.6012537313432835
diabetes,0.08123959883573634,6.0,36.0,49.0,0.6176964737507906,0.7043582089552239
diabetes,0.07995534416071731,14.0,32.0,44.0,0.6176964737507906,0.6012537313432835
diabetes,0.07340280179855684,28.0,11.0,13.0,0.6649667931688805,0.6012537313432835
diabetes,0.061707935850231634,23.0,22.0,53.0,0.7228415559772298,0.6012537313432835
diabetes,0.05434030676903126,28.0,30.0,51.0,0.7334459993674889,0.6012537313432835
diabetes,0.09554779863099283,21.0,52.0,26.0,0.5,0.7043582089552239
diabetes,0.0003630307254743227,25.0,45.0,17.0,0.6567836812144212,0.7043582089552239
diabetes,0.03653781652068614,30.0,23.0,55.0,0.7552676312460468,0.7094328358208956
diabetes,0.003896455955826396,30.0,11.0,34.0,0.7558210784313726,0.698865671641791
diabetes,0.0,1.0,1.0,60.0,0.6649667931688805,0.6012537313432835
diabetes,0.0,30.0,1.0,4.0,0.6100161586812144,0.6537313432835821
diabetes,0.0,30.0,1.0,55.0,0.7084828134882986,0.7006567164179105
diabetes,0.0,30.0,23.0,41.0,0.7826206465449083,0.7514626865671642
diabetes,0.029967303866093045,30.0,20.0,39.0,0.8058265140733712,0.7094328358208956
diabetes,0.06113095678299827,30.0,15.0,40.0,0.6988061353573688,0.6012537313432835
diabetes,0.019765691661275897,30.0,26.0,39.0,0.7663365749525616,0.7094328358208956
diabetes,0.0,30.0,35.0,60.0,0.7334459993674889,0.7259701492537314
diabetes,0.0,30.0,19.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,1.0,22.0,60.0,0.7228415559772298,0.6012537313432835
diabetes,0.07567659703872087,12.0,25.0,19.0,0.6240215844402277,0.6012537313432835
diabetes,0.03679744857294972,6.0,22.0,46.0,0.7680660974067046,0.7094328358208956
diabetes,0.022415918656113934,30.0,16.0,60.0,0.7776797715053764,0.7094328358208956
diabetes,0.1,30.0,1.0,60.0,0.6649667931688805,0.6012537313432835
diabetes,0.014983703682977804,30.0,19.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.016499391656903072,30.0,19.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.005879426862060107,1.0,21.0,34.0,0.7228415559772298,0.6012537313432835
diabetes,0.018084488132312462,30.0,18.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,10.0,16.0,60.0,0.7776797715053764,0.7094328358208956
diabetes,0.0034619695212694244,30.0,19.0,35.0,0.8061242390101202,0.6951641791044776
diabetes,0.0,22.0,8.0,60.0,0.7171884882985452,0.7094328358208956
diabetes,0.007983809587006393,30.0,22.0,2.0,0.8058265140733712,0.7517014925373133
diabetes,0.06129224820055023,6.0,18.0,60.0,0.7228415559772298,0.6012537313432835
diabetes,0.0,26.0,22.0,2.0,0.8061427696078431,0.7514626865671642
diabetes,0.019627440737504845,24.0,19.0,31.0,0.8051754724067046,0.7094328358208956
diabetes,0.0,30.0,20.0,2.0,0.8086728138836179,0.7240597014925374
diabetes,0.0,30.0,30.0,2.0,0.7334459993674889,0.7094328358208956
diabetes,0.0,30.0,17.0,60.0,0.7776797715053764,0.7094328358208956
diabetes,0.023728103789417136,30.0,20.0,2.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,1.0,12.0,2.0,0.6649667931688805,0.6012537313432835
diabetes,0.0,20.0,19.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,1.0,32.0,60.0,0.7334459993674889,0.6012537313432835
diabetes,0.023743109230827508,20.0,19.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.0,28.0,21.0,25.0,0.8061427696078431,0.7521194029850746
diabetes,0.0,1.0,39.0,60.0,0.7266761543327008,0.7043582089552239
diabetes,0.02184557531795033,22.0,22.0,2.0,0.8058265140733712,0.7094328358208956
diabetes,0.014559504503923968,17.0,25.0,2.0,0.7663365749525616,0.7517014925373133
diabetes,0.036227057783636024,22.0,20.0,2.0,0.7680660974067046,0.7094328358208956
diabetes,0.012524614568826668,27.0,19.0,15.0,0.8051754724067046,0.705134328358209
diabetes,0.010905380476752477,25.0,21.0,2.0,0.8058265140733712,0.7517014925373133
diabetes,0.1,1.0,6.0,60.0,0.6649667931688805,0.6012537313432835
diabetes,0.018196955763162808,30.0,20.0,23.0,0.8058265140733712,0.7094328358208956
diabetes,0.03547227500691736,30.0,35.0,2.0,0.7334459993674889,0.7259701492537314
diabetes,0.02605175665771041,30.0,23.0,2.0,0.7552676312460468,0.7094328358208956
diabetes,0.012082329962654284,23.0,20.0,33.0,0.8058265140733712,0.7223283582089552
diabetes,0.008628338206442586,30.0,18.0,2.0,0.8061242390101202,0.7256716417910447
diabetes,0.01479849148547127,21.0,20.0,60.0,0.8058265140733712,0.7094328358208956
diabetes,0.008367694492094643,25.0,19.0,2.0,0.8061242390101202,0.705134328358209
diabetes,0.0,25.0,20.0,2.0,0.8086728138836179,0.7240597014925374
