dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
heart,13,2,distance,0.6689940401372315,0.6774756603700399
heart,25,2,uniform,0.6732162825373346,0.6709398394166247
heart,14,2,uniform,0.6714403740997628,0.6696210387494667
heart,25,1,distance,0.6887407864848163,0.6760017066832162
heart,24,1,distance,0.6903035684998976,0.6741398704472286
heart,22,2,uniform,0.6741757149182152,0.6685543617392653
heart,19,2,uniform,0.6765031493545851,0.672665916760405
heart,17,2,uniform,0.6748273425246307,0.6751483650750554
heart,29,2,distance,0.6841265949233419,0.6814320623715138
heart,1,2,distance,0.5787216313375227,0.6056592063923044
heart,16,1,uniform,0.6678199614331859,0.6740428998099376
heart,21,2,distance,0.6825645769101227,0.6744889647414762
heart,30,1,distance,0.6832949650054735,0.6654513013459524
heart,20,1,distance,0.6842508355170668,0.6837593576664985
heart,30,1,uniform,0.6760591126298954,0.6583530506962492
heart,8,1,uniform,0.655871966669516,0.6425080485628952
heart,23,1,distance,0.6866230844505433,0.6786005197626159
heart,27,1,distance,0.688850925456292,0.6677010201311043
heart,1,2,uniform,0.5787216313375227,0.6056592063923044
heart,1,1,distance,0.5795910145231662,0.6154920290136147
heart,26,1,distance,0.6872081663371888,0.6715798456227455
heart,25,2,distance,0.6763182342796431,0.6777471781544548
heart,10,2,uniform,0.6528679993236037,0.6782708195958264
heart,12,1,distance,0.6654530790340016,0.6697374035142158
heart,30,2,distance,0.6842551069820232,0.679647802645359
heart,22,1,uniform,0.6787436426942021,0.6771265660757922
heart,30,2,uniform,0.6819181954498271,0.6728986462899035
heart,17,2,distance,0.67749211619533,0.6802684147240217
heart,26,1,uniform,0.6803179947071802,0.6658779721500331
heart,28,1,distance,0.6882749768646346,0.6681664791901012
heart,6,2,distance,0.6402659263596663,0.6819363096854274
heart,18,1,distance,0.6802571708983263,0.6819750979403436
heart,28,2,uniform,0.6774557427612212,0.6768162600364609
heart,22,1,distance,0.6846742638703149,0.6810441798223497
heart,15,1,distance,0.6746616860845072,0.6705325627400024
heart,7,1,uniform,0.6586697820038759,0.6347310034521547
heart,24,1,distance,0.6903035684998976,0.6741398704472286
heart,27,2,distance,0.6807264764058167,0.6811605445870991
heart,13,1,uniform,0.6587212352141332,0.6623482409526394
heart,24,1,uniform,0.6851162076929338,0.6666925255032775
heart,5,1,distance,0.656797840847392,0.6533493658120322
heart,15,2,distance,0.6724967942018834,0.6767968659090027
heart,7,1,distance,0.6627458164415608,0.6517396532330011
heart,23,2,distance,0.6755258671120165,0.6768938365462938
heart,19,1,uniform,0.6749740100457448,0.6806175090182693
heart,19,2,distance,0.6784833414718825,0.6787556727822814
heart,10,1,distance,0.6654825764513511,0.6680889026802684
heart,9,2,distance,0.655053169667774,0.6797253791551918
heart,4,2,uniform,0.6344449915418048,0.6593809394515341
heart,28,1,uniform,0.6814013794447197,0.6601373104224043
heart,11,2,distance,0.6567201557489566,0.6716962103874947
heart,29,1,distance,0.6841095808333881,0.667002831542609
heart,3,1,uniform,0.6241017560652256,0.6373298165315542
heart,17,1,distance,0.6776180005506369,0.6837593576664985
heart,20,2,uniform,0.6793796406746442,0.6696792211318413
heart,11,1,uniform,0.657912826322559,0.6649858422869555
heart,8,2,uniform,0.6409011973807608,0.6745083588689345
heart,21,1,distance,0.6845406167930573,0.6825569217640899
heart,26,2,uniform,0.6765390597572623,0.6737325937706063
heart,12,2,uniform,0.6588261187788602,0.6615724758543113
heart,16,2,uniform,0.6730482785278527,0.6751677592025135
heart,14,1,distance,0.6696093070429026,0.6703386214654203
heart,19,1,distance,0.6816427484693801,0.6845739110197432
heart,3,2,distance,0.6237120294547258,0.6577130444901285
heart,18,2,distance,0.6773341368163421,0.6806950855281022
heart,24,2,uniform,0.6697465808138482,0.6663628253364882
heart,28,2,distance,0.6809376604114515,0.6827508630386719
heart,5,1,uniform,0.654941252655601,0.6338776618439937
heart,20,1,uniform,0.6779947692265236,0.6793181024785695
heart,16,1,distance,0.675056325458496,0.6782514254683683
heart,20,2,distance,0.6803228032885974,0.6775920251347891
heart,22,2,distance,0.6788847573108727,0.6772817190954579
heart,26,2,distance,0.6794965723172213,0.6807338737830185
heart,9,1,distance,0.6625963221135569,0.6586633567355804
heart,6,1,distance,0.660737556516459,0.6588572980101626
heart,25,1,uniform,0.6830407375979577,0.6693883092199682
heart,5,2,distance,0.6343895307945073,0.6779411194290369
heart,29,2,uniform,0.6818309800069509,0.6757689771537178
heart,14,1,uniform,0.6608474720752688,0.6627555176292619
heart,18,1,uniform,0.6732039184405323,0.6799775028121485
heart,27,1,uniform,0.6820310663067494,0.6603894340793608
heart,14,2,distance,0.6721970612228494,0.6771265660757921
heart,6,2,uniform,0.6379465081549559,0.674372599976727
heart,10,1,uniform,0.6574337948398481,0.6597688220006982
heart,23,1,uniform,0.6812287972119582,0.6728986462899035
heart,4,1,distance,0.6461742328935121,0.6516038943407937
heart,16,2,distance,0.6747465203882463,0.6801132617043559
heart,11,2,distance,0.6567201557489566,0.6716962103874947
heart,22,1,uniform,0.6787436426942021,0.6771265660757922
heart,23,2,distance,0.6755258671120165,0.6768938365462938
heart,2,1,uniform,0.6139442262897579,0.6317249136961328
heart,7,2,distance,0.6430901286977343,0.6808114502928513
heart,26,2,uniform,0.6765390597572623,0.6737325937706063
heart,21,2,uniform,0.6798361028478007,0.6651022070517046
heart,24,2,distance,0.6746715278175855,0.6737907761529809
heart,29,1,uniform,0.676620838053553,0.6592063923044101
heart,2,2,uniform,0.6068349956470416,0.6465614212016602
