dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc
heart,13,2,distance,0.6605299721452172,0.6684961793568908
heart,25,2,uniform,0.6706497676552123,0.6554051433226019
heart,14,2,uniform,0.6656026671453168,0.6679143555331447
heart,25,1,distance,0.6723486434920192,0.6711919630735812
heart,24,1,distance,0.6763147922857542,0.6708428687793335
heart,22,2,uniform,0.6750207747485424,0.6602148869322368
heart,19,2,uniform,0.6704144313037235,0.6623094526977231
heart,17,2,uniform,0.6633456984636659,0.6594779100888251
heart,29,2,distance,0.6765607653084967,0.6707265040145844
heart,1,2,distance,0.5799432267671831,0.6051743532058493
heart,30,1,uniform,0.678277922924021,0.6651797835615376
heart,9,1,uniform,0.6374247954102764,0.6706295333772933
heart,30,2,distance,0.6780718374184799,0.6711143865637486
heart,30,1,distance,0.6824714305658045,0.6725107637407393
heart,28,1,uniform,0.6750457044467933,0.6644815949730422
heart,21,1,distance,0.6686856398290155,0.6707652922695009
heart,30,2,uniform,0.6801898645818791,0.6648112951398317
heart,22,2,distance,0.6725873038032748,0.6698731624064234
heart,14,2,uniform,0.6656026671453168,0.6679143555331447
heart,3,1,distance,0.638024770148182,0.6593227570691594
heart,15,1,uniform,0.6627357518464597,0.6761956479577984
heart,9,2,uniform,0.6489276905792333,0.6583530506962492
heart,19,2,distance,0.6688983732540901,0.6723943989759902
heart,14,1,distance,0.6643581766086303,0.6873860595011829
heart,6,2,distance,0.6272534785238959,0.6798611380473993
heart,1,1,uniform,0.5871425912260758,0.6041658585780225
heart,27,2,distance,0.6715754904502637,0.6658391838951165
heart,18,1,distance,0.6695492045764277,0.6710368100539157
heart,23,1,uniform,0.6744809636824156,0.6527675419882859
heart,12,1,uniform,0.6532395311887146,0.6766805011442537
heart,29,1,distance,0.6818106273641664,0.66936891509251
heart,24,2,distance,0.6727182678180863,0.67088165703425
heart,15,2,distance,0.659314067662525,0.6782902137232847
heart,19,1,uniform,0.666969811797398,0.6637834063845467
heart,5,1,uniform,0.6446913038564581,0.6560645436561809
heart,28,2,uniform,0.6740807589264939,0.6569760676467167
heart,7,1,distance,0.6511494252873563,0.6721228811915751
heart,11,2,uniform,0.6550670442684962,0.6683798145921415
heart,27,1,distance,0.676943685473631,0.6739459291726465
heart,11,1,distance,0.6549882664220232,0.6840696637058298
heart,16,1,distance,0.6652034595773253,0.6827508630386718
heart,10,2,distance,0.6546565352372975,0.6750126061828479
heart,21,2,uniform,0.6737859236951796,0.6621542996780575
heart,25,1,uniform,0.6693643924133943,0.6614561110895619
heart,17,1,uniform,0.6632463120666386,0.6637058298747139
heart,4,2,uniform,0.6191593040957832,0.6753423063496374
heart,23,1,distance,0.6763121331179407,0.6647143245025406
heart,21,1,uniform,0.6658060934830445,0.6611651991776889
heart,23,2,uniform,0.6753867427188662,0.6600985221674877
heart,5,1,distance,0.6456901537663788,0.6656064543656182
heart,28,1,distance,0.6797544258524295,0.6725495519956558
heart,17,2,distance,0.6607965537185139,0.6706101392498351
heart,8,2,distance,0.6401211915730972,0.6782126372134518
heart,20,1,distance,0.6703409717928774,0.6738683526628136
heart,26,2,distance,0.6718380832718401,0.6697955858965904
heart,20,2,distance,0.6680188534997973,0.668050114425352
heart,27,2,uniform,0.6703356534572504,0.6562972731856794
heart,29,2,uniform,0.6773897608743343,0.6644428067181257
heart,13,1,distance,0.6621317883568336,0.6841278460882045
heart,26,1,uniform,0.6690100583022544,0.6674295023466895
heart,16,2,uniform,0.6626589683758468,0.6635506768550482
heart,7,2,uniform,0.6334470127573576,0.6629494589038439
heart,9,1,distance,0.6461282516636419,0.6797059850277336
heart,3,2,distance,0.6190635740544996,0.6770489895659595
heart,29,1,uniform,0.6785455016852475,0.6608936813932741
heart,3,1,uniform,0.6372217014685255,0.6466002094565765
heart,13,2,uniform,0.665317803793303,0.657965168147085
heart,12,2,distance,0.6585555400437434,0.6744501764865598
heart,14,1,uniform,0.6633383857521788,0.6805787207633529
heart,23,2,distance,0.673571195894245,0.6695240681121756
heart,22,1,uniform,0.6716226906789521,0.6557154493619332
heart,19,1,distance,0.6703356534572507,0.6741398704472286
heart,28,2,distance,0.6739188820858513,0.6657228191303673
heart,24,2,uniform,0.6721209522479941,0.6607967107559831
heart,26,1,distance,0.6736124129953531,0.6755362476242194
heart,18,2,uniform,0.6708119768918317,0.6597494278732401
heart,24,1,uniform,0.6736689203113885,0.6605639812264846
heart,6,1,uniform,0.6476536168006222,0.6453008029168769
heart,2,2,uniform,0.610142730832386,0.650983282262131
heart,25,2,distance,0.6702651855101946,0.6674295023466895
heart,29,1,distance,0.6818106273641664,0.66936891509251
heart,21,2,distance,0.6716386456858326,0.6720840929366588
heart,8,1,uniform,0.6402451752723984,0.6615530817268531
heart,17,1,distance,0.6665968635115641,0.6749932120553896
heart,22,1,distance,0.6748808360423606,0.6673519258368567
heart,27,1,uniform,0.6731380839366321,0.6664404018463209
heart,12,2,distance,0.6585555400437434,0.6744501764865598
heart,9,2,distance,0.6488256450143928,0.6716186338776619
heart,20,2,distance,0.6680188534997973,0.668050114425352
heart,15,2,uniform,0.6625203592535718,0.6695046739847175
heart,10,1,uniform,0.6383332336145402,0.6776308133897057
heart,26,2,uniform,0.6714265770527114,0.6576548621077537
heart,20,2,uniform,0.6701887344355584,0.658062138784376
heart,4,1,distance,0.6431935275855422,0.654280283930026
heart,15,1,distance,0.6660799877678281,0.6830611690780033
heart,18,2,distance,0.6685486926866238,0.6704937744850858
heart,18,1,uniform,0.6661062470499857,0.6606221636088593
heart,12,1,distance,0.658813811717623,0.6840308754509135
