dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_mean
heart,7,2,uniform,0.6377151197728035,0.6746441177611419,0.6741398704472286,-0.0005042473139132975
heart,15,1,distance,0.6746616860845072,0.6705325627400024,0.6741398704472286,0.0036073077072261706
heart,29,1,uniform,0.676620838053553,0.6592063923044101,0.6741398704472286,0.014933478142818424
heart,26,1,uniform,0.6803179947071802,0.6658779721500331,0.6741398704472286,0.00826189829719548
heart,11,1,distance,0.6653851013895297,0.6720453046817424,0.6741398704472286,0.002094565765486167
heart,21,2,distance,0.6825645769101227,0.6744889647414762,0.6741398704472286,-0.000349094294247676
heart,24,1,distance,0.6903035684998976,0.6741398704472286,0.6741398704472286,0.0
heart,21,2,distance,0.6825645769101227,0.6744889647414762,0.6741398704472286,-0.000349094294247676
heart,12,2,distance,0.6634328867889077,0.6715992397502037,0.6741398704472286,0.002540630697024815
heart,2,2,distance,0.6040928957272664,0.648811139986812,0.6741398704472286,0.025328730460416615
heart,21,1,distance,0.6845406167930573,0.6825569217640899,0.6741398704472286,-0.008417051316861324
heart,26,2,uniform,0.6765390597572623,0.6737325937706063,0.6741398704472286,0.00040727667662221467
heart,12,1,uniform,0.6571469596013411,0.6626973352468871,0.6741398704472286,0.011442535200341442
heart,27,1,uniform,0.6820310663067494,0.6603894340793608,0.6741398704472286,0.013750436367867769
heart,10,2,distance,0.6576239086001884,0.686629688530313,0.6741398704472286,-0.01248981808308447
heart,28,2,uniform,0.6774557427612212,0.6768162600364609,0.6741398704472286,-0.002676389589232331
heart,30,2,uniform,0.6819181954498271,0.6728986462899035,0.6741398704472286,0.0012412241573250826
heart,30,1,distance,0.6832949650054735,0.6654513013459524,0.6741398704472286,0.008688569101276133
heart,23,2,distance,0.6755258671120165,0.6768938365462938,0.6741398704472286,-0.002753966099065197
heart,25,1,uniform,0.6830407375979577,0.6693883092199682,0.6741398704472286,0.004751561227260392
heart,19,1,uniform,0.6749740100457448,0.6806175090182693,0.6741398704472286,-0.006477638571040778
heart,9,1,distance,0.6625963221135569,0.6586633567355804,0.6741398704472286,0.015476513711648154
heart,4,1,distance,0.6461742328935121,0.6516038943407937,0.6741398704472286,0.022535976106434874
heart,14,2,distance,0.6721970612228494,0.6771265660757921,0.6741398704472286,-0.0029866956285635737
heart,9,2,uniform,0.6515567382973205,0.6703968038477949,0.6741398704472286,0.0037430665994336865
heart,2,2,distance,0.6040928957272664,0.648811139986812,0.6741398704472286,0.025328730460416615
heart,15,2,uniform,0.6705671940563804,0.6682246615724757,0.6741398704472286,0.005915208874752831
heart,12,1,distance,0.6654530790340016,0.6697374035142158,0.6741398704472286,0.004402466933012716
heart,15,1,distance,0.6746616860845072,0.6705325627400024,0.6741398704472286,0.0036073077072261706
heart,17,2,distance,0.67749211619533,0.6802684147240217,0.6741398704472286,-0.006128544276793102
heart,8,2,distance,0.646057219062856,0.6830999573329196,0.6741398704472286,-0.008960086885691054
heart,30,2,distance,0.6842551069820232,0.679647802645359,0.6741398704472286,-0.005507932198130394
heart,10,2,distance,0.6576239086001884,0.686629688530313,0.6741398704472286,-0.01248981808308447
heart,29,1,distance,0.6841095808333881,0.667002831542609,0.6741398704472286,0.007137038904619586
heart,26,2,distance,0.6794965723172213,0.6807338737830185,0.6741398704472286,-0.006594003335789966
heart,10,2,distance,0.6576239086001884,0.686629688530313,0.6741398704472286,-0.01248981808308447
heart,14,1,distance,0.6696093070429026,0.6703386214654203,0.6741398704472286,0.003801248981808225
heart,15,2,distance,0.6724967942018834,0.6767968659090027,0.6741398704472286,-0.0026569954617741143
heart,23,2,uniform,0.671863988823162,0.6685155734843489,0.6741398704472286,0.0056242969628796935
heart,30,2,uniform,0.6819181954498271,0.6728986462899035,0.6741398704472286,0.0012412241573250826
heart,16,1,distance,0.675056325458496,0.6782514254683683,0.6741398704472286,-0.00411155502113969
heart,15,1,distance,0.6746616860845072,0.6705325627400024,0.6741398704472286,0.0036073077072261706
heart,26,1,distance,0.6872081663371888,0.6715798456227455,0.6741398704472286,0.0025600248244830315
heart,28,2,uniform,0.6774557427612212,0.6768162600364609,0.6741398704472286,-0.002676389589232331
heart,9,1,uniform,0.6554260627705781,0.6460183856328304,0.6741398704472286,0.028121484814398134
heart,13,1,uniform,0.6587212352141332,0.6623482409526394,0.6741398704472286,0.011791629494589118
heart,7,1,distance,0.6627458164415608,0.6517396532330011,0.6741398704472286,0.02240021721422747
heart,1,2,distance,0.5787216313375227,0.6056592063923044,0.6741398704472286,0.06848066405492415
heart,24,1,uniform,0.6851162076929338,0.6666925255032775,0.6741398704472286,0.007447344943951051
heart,19,1,distance,0.6816427484693801,0.6845739110197432,0.6741398704472286,-0.010434040572514625
heart,3,1,uniform,0.6241017560652256,0.6373298165315542,0.6741398704472286,0.03681005391567438
heart,27,1,distance,0.688850925456292,0.6677010201311043,0.6741398704472286,0.006438850316124234
heart,7,2,uniform,0.6377151197728035,0.6746441177611419,0.6741398704472286,-0.0005042473139132975
heart,28,1,uniform,0.6814013794447197,0.6601373104224043,0.6741398704472286,0.014002560024824251
heart,8,2,distance,0.646057219062856,0.6830999573329196,0.6741398704472286,-0.008960086885691054
heart,1,2,uniform,0.5787216313375227,0.6056592063923044,0.6741398704472286,0.06848066405492415
heart,23,2,distance,0.6755258671120165,0.6768938365462938,0.6741398704472286,-0.002753966099065197
heart,5,1,distance,0.656797840847392,0.6533493658120322,0.6741398704472286,0.020790504635196383
heart,8,2,uniform,0.6409011973807608,0.6745083588689345,0.6741398704472286,-0.0003684884217058926
heart,3,1,uniform,0.6241017560652256,0.6373298165315542,0.6741398704472286,0.03681005391567438
heart,5,1,distance,0.656797840847392,0.6533493658120322,0.6741398704472286,0.020790504635196383
heart,3,1,uniform,0.6241017560652256,0.6373298165315542,0.6741398704472286,0.03681005391567438
heart,26,1,uniform,0.6803179947071802,0.6658779721500331,0.6741398704472286,0.00826189829719548
heart,14,1,uniform,0.6608474720752688,0.6627555176292619,0.6741398704472286,0.01138435281796668
heart,9,1,uniform,0.6554260627705781,0.6460183856328304,0.6741398704472286,0.028121484814398134
heart,26,2,distance,0.6794965723172213,0.6807338737830185,0.6741398704472286,-0.006594003335789966
heart,13,1,uniform,0.6587212352141332,0.6623482409526394,0.6741398704472286,0.011791629494589118
heart,7,1,distance,0.6627458164415608,0.6517396532330011,0.6741398704472286,0.02240021721422747
heart,29,2,distance,0.6841265949233419,0.6814320623715138,0.6741398704472286,-0.007292191924285207
heart,30,1,uniform,0.6760591126298954,0.6583530506962492,0.6741398704472286,0.015786819750979397
