dataset,n_neighbors,p,weights,cv_roc_auc,test_roc_auc,star_test_roc_auc,diff_from_star
heart,7,2,uniform,0.6334470127573576,0.6629494589038439,0.6755362476242194,0.012586788720375441
heart,15,1,distance,0.6660799877678281,0.6830611690780033,0.6755362476242194,-0.007524921453783917
heart,29,1,uniform,0.6785455016852475,0.6608936813932741,0.6755362476242194,0.014642566230945286
heart,26,1,uniform,0.6690100583022544,0.6674295023466895,0.6755362476242194,0.008106745277529859
heart,11,1,distance,0.6549882664220232,0.6840696637058298,0.6755362476242194,-0.008533416081610401
heart,21,2,distance,0.6716386456858326,0.6720840929366588,0.6755362476242194,0.003452154687560549
heart,24,1,distance,0.6763147922857542,0.6708428687793335,0.6755362476242194,0.004693378844885854
heart,21,2,distance,0.6716386456858326,0.6720840929366588,0.6755362476242194,0.003452154687560549
heart,12,2,distance,0.6585555400437434,0.6744501764865598,0.6755362476242194,0.0010860711376595722
heart,2,2,distance,0.6070069071883953,0.6530390597727008,0.6755362476242194,0.022497187851518552
heart,21,1,distance,0.6686856398290155,0.6707652922695009,0.6755362476242194,0.004770955354718498
heart,26,2,uniform,0.6714265770527114,0.6576548621077537,0.6755362476242194,0.017881385516465675
heart,12,1,uniform,0.6532395311887146,0.6766805011442537,0.6755362476242194,-0.001144253520034333
heart,27,1,uniform,0.6731380839366321,0.6664404018463209,0.6755362476242194,0.00909584577789846
heart,10,2,distance,0.6546565352372975,0.6750126061828479,0.6755362476242194,0.000523641441371514
heart,28,2,uniform,0.6740807589264939,0.6569760676467167,0.6755362476242194,0.0185601799775027
heart,30,2,uniform,0.6801898645818791,0.6648112951398317,0.6755362476242194,0.010724952484387651
heart,30,1,distance,0.6824714305658045,0.6725107637407393,0.6755362476242194,0.003025483883480118
heart,23,2,distance,0.673571195894245,0.6695240681121756,0.6755362476242194,0.006012179512043803
heart,25,1,uniform,0.6693643924133943,0.6614561110895619,0.6755362476242194,0.01408013653465745
heart,19,1,uniform,0.666969811797398,0.6637834063845467,0.6755362476242194,0.011752841239672684
heart,9,1,distance,0.6461282516636419,0.6797059850277336,0.6755362476242194,-0.004169737403514229
heart,4,1,distance,0.6431935275855422,0.654280283930026,0.6755362476242194,0.02125596369419336
heart,14,2,distance,0.6610072927677283,0.6769326248012101,0.6755362476242194,-0.001396377176990704
heart,9,2,uniform,0.6489276905792333,0.6583530506962492,0.6755362476242194,0.017183196927970212
heart,2,2,distance,0.6070069071883953,0.6530390597727008,0.6755362476242194,0.022497187851518552
heart,15,2,uniform,0.6625203592535718,0.6695046739847175,0.6755362476242194,0.006031573639501908
heart,12,1,distance,0.658813811717623,0.6840308754509135,0.6755362476242194,-0.008494627826694079
heart,15,1,distance,0.6660799877678281,0.6830611690780033,0.6755362476242194,-0.007524921453783917
heart,17,2,distance,0.6607965537185139,0.6706101392498351,0.6755362476242194,0.0049261083743842304
heart,8,2,distance,0.6401211915730972,0.6782126372134518,0.6755362476242194,-0.002676389589232442
heart,30,2,distance,0.6780718374184799,0.6711143865637486,0.6755362476242194,0.004421861060470822
heart,10,2,distance,0.6546565352372975,0.6750126061828479,0.6755362476242194,0.000523641441371514
heart,29,1,distance,0.6818106273641664,0.66936891509251,0.6755362476242194,0.006167332531709424
heart,26,2,distance,0.6718380832718401,0.6697955858965904,0.6755362476242194,0.005740661727628993
heart,10,2,distance,0.6546565352372975,0.6750126061828479,0.6755362476242194,0.000523641441371514
heart,14,1,distance,0.6643581766086303,0.6873860595011829,0.6755362476242194,-0.011849811876963545
heart,15,2,distance,0.659314067662525,0.6782902137232847,0.6755362476242194,-0.002753966099065308
heart,23,2,uniform,0.6753867427188662,0.6600985221674877,0.6755362476242194,0.015437725456731721
heart,30,2,uniform,0.6801898645818791,0.6648112951398317,0.6755362476242194,0.010724952484387651
heart,16,1,distance,0.6652034595773253,0.6827508630386718,0.6755362476242194,-0.007214615414452452
heart,15,1,distance,0.6660799877678281,0.6830611690780033,0.6755362476242194,-0.007524921453783917
heart,26,1,distance,0.6736124129953531,0.6755362476242194,0.6755362476242194,0.0
heart,28,2,uniform,0.6740807589264939,0.6569760676467167,0.6755362476242194,0.0185601799775027
heart,9,1,uniform,0.6374247954102764,0.6706295333772933,0.6755362476242194,0.004906714246926125
heart,13,1,uniform,0.6602072156518617,0.6779411194290369,0.6755362476242194,-0.002404871804817521
heart,7,1,distance,0.6511494252873563,0.6721228811915751,0.6755362476242194,0.003413366432644227
heart,1,2,distance,0.5799432267671831,0.6051743532058493,0.6755362476242194,0.07036189441837004
heart,24,1,uniform,0.6736689203113885,0.6605639812264846,0.6755362476242194,0.014972266397734746
heart,19,1,distance,0.6703356534572507,0.6741398704472286,0.6755362476242194,0.001396377176990815
heart,3,1,uniform,0.6372217014685255,0.6466002094565765,0.6755362476242194,0.028936038167642897
heart,27,1,distance,0.676943685473631,0.6739459291726465,0.6755362476242194,0.0015903184515728697
heart,7,2,uniform,0.6334470127573576,0.6629494589038439,0.6755362476242194,0.012586788720375441
