dataset,params,cv_roc_auc,test_roc_auc
heart,"{'C': 0.1767016940294795, 'degree': 2, 'gamma': 0.012606912518374074, 'kernel': 'linear'}",0.8405510750061838,0.8313098793685272
heart,"{'C': 3.8115440886530614, 'degree': 3, 'gamma': 0.008629132190071854, 'kernel': 'poly'}",0.7406388912323424,0.7121911485202281
heart,"{'C': 0.5694995061301531, 'degree': 2, 'gamma': 4.0428727350273315, 'kernel': 'poly'}",0.7909521366261288,0.7766184399363874
heart,"{'C': 0.0013289448722869186, 'degree': 3, 'gamma': 21.477940434530893, 'kernel': 'rbf'}",0.5957512409473882,0.6412668244055699
heart,"{'C': 0.018794668241638456, 'degree': 5, 'gamma': 897.9855655182433, 'kernel': 'linear'}",0.7841498043738505,0.7578061363019278
heart,"{'C': 0.06690421166498801, 'degree': 3, 'gamma': 0.001102548826429165, 'kernel': 'linear'}",0.8176954522812308,0.7997362398665684
heart,"{'C': 0.055895242052179224, 'degree': 4, 'gamma': 0.25070663643916685, 'kernel': 'poly'}",0.6767995415618403,0.6761180714479655
heart,"{'C': 0.5450293694558254, 'degree': 4, 'gamma': 5.132347525675519, 'kernel': 'poly'}",0.7731449872726551,0.8630386718901517
heart,"{'C': 793.2047656808546, 'degree': 2, 'gamma': 0.0018997763474111276, 'kernel': 'poly'}",0.6536555405461345,0.6453589852992514
heart,"{'C': 12.073834860996039, 'degree': 2, 'gamma': 0.002456459215250751, 'kernel': 'linear'}",0.9040492144995886,0.8919747100577946
mushrooms,"{'C': 0.1767016940294795, 'degree': 2, 'gamma': 0.012606912518374074, 'kernel': 'linear'}",1.0,1.0
mushrooms,"{'C': 3.8115440886530614, 'degree': 3, 'gamma': 0.008629132190071854, 'kernel': 'poly'}",1.0,1.0
mushrooms,"{'C': 0.5694995061301531, 'degree': 2, 'gamma': 4.0428727350273315, 'kernel': 'poly'}",1.0,1.0
mushrooms,"{'C': 0.0013289448722869186, 'degree': 3, 'gamma': 21.477940434530893, 'kernel': 'rbf'}",0.5,0.5
mushrooms,"{'C': 0.018794668241638456, 'degree': 5, 'gamma': 897.9855655182433, 'kernel': 'linear'}",1.0,1.0
mushrooms,"{'C': 0.06690421166498801, 'degree': 3, 'gamma': 0.001102548826429165, 'kernel': 'linear'}",1.0,1.0
mushrooms,"{'C': 0.055895242052179224, 'degree': 4, 'gamma': 0.25070663643916685, 'kernel': 'poly'}",1.0,1.0
mushrooms,"{'C': 0.5450293694558254, 'degree': 4, 'gamma': 5.132347525675519, 'kernel': 'poly'}",1.0,1.0
mushrooms,"{'C': 793.2047656808546, 'degree': 2, 'gamma': 0.0018997763474111276, 'kernel': 'poly'}",1.0,1.0
mushrooms,"{'C': 12.073834860996039, 'degree': 2, 'gamma': 0.002456459215250751, 'kernel': 'linear'}",1.0,1.0
rice,"{'C': 0.1767016940294795, 'degree': 2, 'gamma': 0.012606912518374074, 'kernel': 'linear'}",0.9985628272040806,0.9991783310704553
rice,"{'C': 3.8115440886530614, 'degree': 3, 'gamma': 0.008629132190071854, 'kernel': 'poly'}",0.9972262439641877,0.9984363675434912
rice,"{'C': 0.5694995061301531, 'degree': 2, 'gamma': 4.0428727350273315, 'kernel': 'poly'}",0.9978879069662187,0.9985537767271946
rice,"{'C': 0.0013289448722869186, 'degree': 3, 'gamma': 21.477940434530893, 'kernel': 'rbf'}",0.9947906495708392,0.9963813161159245
rice,"{'C': 0.018794668241638456, 'degree': 5, 'gamma': 897.9855655182433, 'kernel': 'linear'}",0.998404948879817,0.9990577961846898
rice,"{'C': 0.06690421166498801, 'degree': 3, 'gamma': 0.001102548826429165, 'kernel': 'linear'}",0.9985149461020739,0.9991417994276057
rice,"{'C': 0.055895242052179224, 'degree': 4, 'gamma': 0.25070663643916685, 'kernel': 'poly'}",0.9856818986024193,0.9906309034255741
rice,"{'C': 0.5450293694558254, 'degree': 4, 'gamma': 5.132347525675519, 'kernel': 'poly'}",0.9967241249606937,0.996883382009631
rice,"{'C': 793.2047656808546, 'degree': 2, 'gamma': 0.0018997763474111276, 'kernel': 'poly'}",0.8645293026162172,0.8757203278080038
rice,"{'C': 12.073834860996039, 'degree': 2, 'gamma': 0.002456459215250751, 'kernel': 'linear'}",0.9987738532412335,0.9994104144485577
wine,"{'C': 0.1767016940294795, 'degree': 2, 'gamma': 0.012606912518374074, 'kernel': 'linear'}",0.9953561703298325,0.996923469387755
wine,"{'C': 3.8115440886530614, 'degree': 3, 'gamma': 0.008629132190071854, 'kernel': 'poly'}",0.9926462799090199,0.9946010204081631
wine,"{'C': 0.5694995061301531, 'degree': 2, 'gamma': 4.0428727350273315, 'kernel': 'poly'}",0.987776025399576,0.9925561224489796
wine,"{'C': 0.0013289448722869186, 'degree': 3, 'gamma': 21.477940434530893, 'kernel': 'rbf'}",0.942586773275049,0.9624295918367347
wine,"{'C': 0.018794668241638456, 'degree': 5, 'gamma': 897.9855655182433, 'kernel': 'linear'}",0.9950560688638397,0.9964275510204081
wine,"{'C': 0.06690421166498801, 'degree': 3, 'gamma': 0.001102548826429165, 'kernel': 'linear'}",0.9951311320020124,0.9966826530612245
wine,"{'C': 0.055895242052179224, 'degree': 4, 'gamma': 0.25070663643916685, 'kernel': 'poly'}",0.9895188952474951,0.9943744897959185
wine,"{'C': 0.5450293694558254, 'degree': 4, 'gamma': 5.132347525675519, 'kernel': 'poly'}",0.9757585391549481,0.9785867346938776
wine,"{'C': 793.2047656808546, 'degree': 2, 'gamma': 0.0018997763474111276, 'kernel': 'poly'}",0.9884966396345762,0.9899571428571428
wine,"{'C': 12.073834860996039, 'degree': 2, 'gamma': 0.002456459215250751, 'kernel': 'linear'}",0.9953641282304613,0.9971030612244898
