dataset,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,cv_roc_auc,test_roc_auc
heart,0.705051979426657,0.8638628715886625,0.6891758203498262,6.0,10.201714603067373,887.0,0.3558431449687549,5.259925413008049,0.6522316555182531,0.6566553480475382,0.6401807532679105
heart,0.9186941777766422,0.9416576386904312,0.021010887006349066,12.0,19.982145328166585,218.0,0.0815079946852985,0.36245504530728717,0.8178645509395852,0.6683418222976797,0.6730344051821108
heart,0.7224162561505759,0.9593612608346885,0.006986924511363313,7.0,1.9182302909171245,962.0,0.09178998355472624,5.718058236489523,0.7786702115169006,0.7477306168647425,0.7618013265583181
heart,0.9061979941786817,0.5859357806982803,0.10764674639782455,10.0,6.127343113259059,281.0,5.888929198432002,13.235158188303906,0.9559644307534418,0.7665308432371252,0.7616073852837361
heart,0.8997767208035865,0.7190145932204617,0.07244158371611711,9.0,22.93152447460037,1462.0,0.5912256328375682,2.834002473589872,0.6765419227639857,0.5,0.5
heart,0.8670140089927842,0.9696848688013859,0.009677549043510406,5.0,16.027929425552664,808.0,0.7527512696914924,1.2724876030526848,0.8926419685712479,0.6860101867572157,0.7062177572631008
heart,0.8085396792511581,0.8876821894139413,0.02860048565552559,11.0,7.797968767915457,1230.0,2.804561261753206,0.5827002599921443,0.866941242634403,0.7366610073571025,0.7498157557891472
heart,0.7717015338451563,0.9600046132186582,0.06128737094366755,11.0,3.074389408695179,197.0,1.6332866652282896,0.037369649706000894,0.6928647954923324,0.7260215053763441,0.7598619138124975
heart,0.9777389931549642,0.8503107223106829,0.4908028146563286,7.0,3.745929698086832,502.0,0.031263226910018344,0.40806047345014634,0.7971894567956928,0.6362422184493493,0.6822078274698422
heart,0.5018151536273716,0.9089150098318758,0.23820274685078732,5.0,7.42979127199257,622.0,0.2732688767549949,0.0899923307256767,0.9469190305262598,0.6454668930390492,0.7161863387766185
heart,0.9082613833601292,0.5423669554007229,0.12333337137265457,8.0,2.807113192777665,590.0,0.4516143588325456,1.3418523046986552,0.9496984438292704,0.6787549518958687,0.7426011403746945
heart,0.5,0.9826431811488003,0.022845910978025352,11.0,1.1778200285349762,1664.0,0.15399776734182644,0.8061540515709538,0.6110689693212809,0.6880475382003395,0.7493115084752338
heart,0.8742840414227995,0.6040372731017349,0.08444372900224918,5.0,16.336227876040507,178.0,1.8975873532237726,3.3967431337570004,0.8188749185727154,0.6651273344651953,0.7013886195260074
heart,0.7475946195520176,0.5649910886870719,0.021920800151968203,11.0,18.381594218412356,104.0,32.0,0.324029729844283,0.7829659410671719,0.5,0.5
heart,0.8605650050289336,0.6384342148216064,0.022963378055342362,11.0,5.13282386480169,1823.0,15.478178929706226,6.185467992416904,0.8981111062539392,0.7202320316921336,0.7744462976610683
heart,0.6153486069542313,0.5921200941191301,0.09168288467322443,11.0,7.4179452539491235,1051.0,0.050196962317318024,0.03347161399578968,0.9097752397904514,0.6587662705149973,0.7221209417788295
heart,0.5989232345684007,0.973555508760097,0.29080663619277863,6.0,1.2188532413681434,402.0,0.1176917261004773,0.11946873081783053,0.7317488691176823,0.6494397283531409,0.7398471742756294
heart,0.5084209584872704,0.5908722454471398,1.0,10.0,6.98276296945938,1350.0,29.816848580855737,0.8466550511154765,0.6597145837065577,0.5,0.5
heart,0.8726565593369687,0.6204786930777785,0.22142779193902018,10.0,5.8086215338094505,100.0,7.730477105905894,22.785265765953486,0.996557607952403,0.7625580079230334,0.7679880532174858
heart,0.8143779746648758,1.0,0.006978821144478238,11.0,2.4555229490054047,289.0,1.2309457361513083,2.898413112462146,0.9236816590534993,0.7605659309564232,0.7690935184826035
heart,0.6395124495106848,0.9971152397509391,0.01725609543311132,11.0,3.4478022944540694,2000.0,32.0,0.4835465916933005,0.9050846362605051,0.5,0.5
heart,0.8916697690533298,0.6011489063276064,0.14610434934169048,10.0,5.9893284015488355,206.0,6.617498364154097,16.623779524891482,0.9731712150642662,0.7657838143746464,0.7640898335983864
heart,0.7563051663046911,1.0,0.005192834030185915,12.0,1.0,129.0,1.5500403511722451,3.225435685267689,1.0,0.7615393322014714,0.7604437376362437
heart,0.9164908205107456,0.7775210742581862,0.008570479030374173,11.0,1.731183534263233,1233.0,5.4317434422823725,7.377192014364805,1.0,0.7631239388794567,0.7582328071060085
heart,0.7052290009792073,0.9687274085939696,0.00390625,12.0,4.887631927639131,1228.0,0.08121415135164879,17.58576491603581,0.9015445006937274,0.7573514431239389,0.7660292463442069
heart,0.7607939543874536,1.0,0.00390625,12.0,1.9644183867067782,450.0,0.09257289563890964,6.226034970053524,0.9493151130011973,0.7585851726089416,0.7701408013653466
heart,1.0,0.800122492196888,0.20820096525797416,12.0,27.572912915651084,1094.0,17.578563017390557,32.0,0.9772698501940975,0.5,0.5
heart,0.8702034634829906,1.0,0.00390625,3.0,7.497966216962821,100.0,0.688729320156963,32.0,1.0,0.7584380305602716,0.7649431752065474
heart,0.9820609631209081,0.5,0.00390625,7.0,1.750027879790502,782.0,8.837879867446018,32.0,0.9863149613416988,0.7809960384833051,0.7776269345642138
heart,0.9565043411175884,0.5859389705766015,0.00390625,9.0,3.0888066045285676,1621.0,8.763373464687367,32.0,1.0,0.762648556876061,0.7738450797098639
heart,0.8836220943024954,0.5,0.06760227048456885,5.0,2.4686447673482763,100.0,6.11655785110814,30.94695169781604,0.9645947925282945,0.7732993774759479,0.7691710949924362
heart,0.9989346647532275,0.5,0.00390625,4.0,1.3176335764652054,100.0,11.640163420491433,32.0,0.9149652471187925,0.7203225806451612,0.7751832745044801
heart,0.8943558116528048,0.5,0.024221618996272284,10.0,9.88683136145427,2000.0,7.721740423268397,10.072076735817504,0.986402954166345,0.7710413129598188,0.7643031690004266
heart,0.9632587154993132,0.5,0.00390625,9.0,1.435973566980427,349.0,6.792347545082499,5.490232897108399,1.0,0.7712054329371816,0.7651565106085878
heart,0.7538719118004736,0.687527084439294,0.02645838925881403,8.0,1.0,727.0,6.116445187706842,0.03125,0.5263118779847966,0.7612450481041313,0.7663395523835383
heart,0.9520484742065114,0.934723959774874,0.00390625,7.0,1.0,1578.0,0.03125,0.6092667336345876,0.6098912174956364,0.7281154499151103,0.767541988285947
heart,0.7458846398545473,0.6761301873570609,0.00390625,5.0,1.0,1417.0,0.5504230516850197,0.05207936113067925,1.0,0.7360950764006791,0.7710717194833404
heart,0.839332200899971,0.5,0.14522414079431212,7.0,1.0,1975.0,9.706092072854423,0.23696968419125772,0.8354261027400662,0.7675042444821731,0.7743105387688609
heart,0.9072052359991791,0.5,0.02668428259381594,12.0,3.1781167455640253,2000.0,8.80616367774519,32.0,1.0,0.7663044708545559,0.7703929250223033
heart,1.0,0.7426303479731172,0.32001411250655615,3.0,12.181837285064317,100.0,0.04710905797106942,1.3706856034218586,0.9865365849899456,0.7130277306168648,0.7430472053062334
heart,0.5,0.5515326319065867,0.009789828219077461,11.0,3.199796242154949,100.0,0.03125,9.11394500165507,0.6672042109924132,0.7355178268251272,0.7149839028742097
heart,0.9785208405366268,0.7459506379026251,0.10556792941157694,4.0,2.382896763530924,100.0,32.0,15.17174332335464,0.8549830603262122,0.5,0.5
heart,0.5092777097567003,0.5590393636453355,1.0,8.0,1.0,1538.0,4.194452185222367,0.2512887190061516,0.765973403253082,0.7385738539898131,0.7679298708351111
heart,0.5501347791609797,0.9650334024003708,0.00390625,3.0,6.560336050277974,100.0,1.7606366534772648,0.6352247082276181,0.8797439715484814,0.7803848330503679,0.7685116946588574
heart,0.5774461304568871,0.5,0.00390625,3.0,32.0,1690.0,0.03125,20.765069884570135,0.5259141592287039,0.5,0.5
heart,1.0,0.5,0.00390625,6.0,1.0,100.0,0.05820327969457293,32.0,0.9716465973091531,0.775653650254669,0.7538109460455373
heart,0.7465693177525374,0.5,0.00390625,3.0,8.912808778935116,100.0,5.368476976476449,0.03125,0.5,0.7024335031126203,0.7226057949652845
heart,0.7745846181320284,0.8261616682707419,0.00390625,5.0,6.569703593063258,1119.0,1.401572292376707,1.7764601816963992,1.0,0.7590605546123371,0.7645552926573833
heart,0.8273619311171725,1.0,0.00390625,4.0,3.54188806693059,293.0,1.5226136004449424,32.0,1.0,0.7652235427277871,0.7684729064039408
heart,0.8560671213018879,0.774047407793053,1.0,3.0,32.0,100.0,0.0775650344880236,11.362905517165743,0.9341739175216872,0.5,0.5
heart,0.9675267897746151,0.5,0.00390625,7.0,5.8342687672905145,970.0,5.403147679909718,32.0,1.0,0.785195246179966,0.7683371475117335
heart,0.9567895417319912,0.5,0.00390625,6.0,7.623523713490737,2000.0,7.7069456877226274,32.0,0.9334493122701746,0.7780305602716469,0.7702183778751794
heart,0.8560780391868092,0.5,0.00390625,8.0,1.5778316989430703,2000.0,5.928755800468734,32.0,0.8662790152043465,0.7715449915110357,0.771692331562003
heart,0.5758728494826849,0.657298353733088,0.00390625,12.0,1.0,1218.0,0.03247081591790178,32.0,1.0,0.7707413695529145,0.7666110701679532
heart,0.9929425110197919,0.5,0.004949231821816257,8.0,1.9773709144052063,902.0,6.3508842454764824,19.19415970465111,1.0,0.7764459535936614,0.7666110701679532
heart,0.933103430117528,1.0,0.029467642146826317,11.0,7.491649127328143,720.0,1.3794907727821886,1.0586545732535004,1.0,0.7269609507640068,0.7631201272254762
heart,0.5,0.9857611920952414,0.00390625,6.0,5.845006265679851,100.0,2.8649540905985096,32.0,1.0,0.7686247877758913,0.7665916760404949
heart,1.0,1.0,0.00390625,5.0,7.150955822281204,100.0,0.10419156579918362,32.0,0.5,0.7163723825693266,0.7808657538497343
heart,0.8935309861590544,0.8926019514844863,0.00390625,12.0,2.1291913519160666,940.0,0.06106921676576085,32.0,0.8412002025121145,0.7596943972835314,0.7732438617586594
heart,0.5,0.8761928313166318,0.00390625,6.0,5.483123412231659,472.0,1.4541390769262545,7.363225734215291,0.6128140455587152,0.7700056593095642,0.764981963461464
heart,0.6215413215790788,1.0,0.00390625,3.0,2.2907134235656095,100.0,0.6806472567849544,32.0,0.5,0.7565478211658176,0.7704898956595942
heart,0.8668665041000407,0.9461016593703805,0.00390625,3.0,12.118063015031769,100.0,0.04909535153523339,32.0,1.0,0.7709168081494058,0.7596097901555409
heart,0.5,0.5,0.00390625,3.0,1.0,100.0,0.03125,32.0,1.0,0.770899830220713,0.7472363368372057
heart,0.5,0.5015018986395258,1.0,3.0,1.7226457400089605,1800.0,9.182494954926927,0.03125,0.950556643631682,0.7483022071307301,0.7672316822466156
