dataset,params,cv_roc_auc,test_roc_auc,mean_test_roc_auc,diff_from_mean
heart,"{'ccp_alpha': 0.3745401188473625, 'max_depth': 29, 'min_samples_leaf': 15, 'min_samples_split': 44}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.7796910002727693, 'max_depth': 21, 'min_samples_leaf': 39, 'min_samples_split': 59}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.15599452033620265, 'max_depth': 11, 'min_samples_leaf': 11, 'min_samples_split': 25}",0.9534206184281592,0.9752724874907879,0.9752724874907879,0.0
heart,"{'ccp_alpha': 0.33370861113902184, 'max_depth': 8, 'min_samples_leaf': 24, 'min_samples_split': 4}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.020584494295802447, 'max_depth': 2, 'min_samples_leaf': 24, 'min_samples_split': 45}",0.9905493312994462,0.9752724874907879,0.9752724874907879,0.0
heart,"{'ccp_alpha': 0.9385527090157502, 'max_depth': 2, 'min_samples_leaf': 21, 'min_samples_split': 34}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.3042422429595377, 'max_depth': 22, 'min_samples_leaf': 44, 'min_samples_split': 26}",0.6257503703126218,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.2912291401980419, 'max_depth': 27, 'min_samples_leaf': 42, 'min_samples_split': 29}",0.7612183506081883,0.8704472285791862,0.9752724874907879,0.10482525891160166
heart,"{'ccp_alpha': 0.9737555188414592, 'max_depth': 15, 'min_samples_leaf': 47, 'min_samples_split': 52}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.38246199126716274, 'max_depth': 20, 'min_samples_leaf': 57, 'min_samples_split': 4}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.8599404067363206, 'max_depth': 7, 'min_samples_leaf': 21, 'min_samples_split': 10}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.06505159298527952, 'max_depth': 4, 'min_samples_leaf': 25, 'min_samples_split': 15}",0.9905493312994462,0.9752724874907879,0.9752724874907879,0.0
heart,"{'ccp_alpha': 0.8083973481164611, 'max_depth': 9, 'min_samples_leaf': 26, 'min_samples_split': 54}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.230893825622149, 'max_depth': 28, 'min_samples_leaf': 47, 'min_samples_split': 8}",0.9047827070438319,0.8704472285791862,0.9752724874907879,0.10482525891160166
heart,"{'ccp_alpha': 0.6099966577826209, 'max_depth': 8, 'min_samples_leaf': 47, 'min_samples_split': 36}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.9093204020787821, 'max_depth': 4, 'min_samples_leaf': 50, 'min_samples_split': 41}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.7553614103176525, 'max_depth': 6, 'min_samples_leaf': 54, 'min_samples_split': 43}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.5677003278199915, 'max_depth': 29, 'min_samples_leaf': 18, 'min_samples_split': 27}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.44975413336976566, 'max_depth': 10, 'min_samples_leaf': 36, 'min_samples_split': 15}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.7272719958564209, 'max_depth': 15, 'min_samples_leaf': 8, 'min_samples_split': 15}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.1959828624191452, 'max_depth': 25, 'min_samples_leaf': 40, 'min_samples_split': 22}",0.9047827070438319,0.8704472285791862,0.9752724874907879,0.10482525891160166
heart,"{'ccp_alpha': 0.388677289689482, 'max_depth': 18, 'min_samples_leaf': 47, 'min_samples_split': 54}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.5867511656638482, 'max_depth': 25, 'min_samples_leaf': 45, 'min_samples_split': 42}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.2962735057040824, 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 26}",0.6257503703126218,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.9868869366005173, 'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 45}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.2934881747180381, 'max_depth': 11, 'min_samples_leaf': 51, 'min_samples_split': 18}",0.7612183506081883,0.8704472285791862,0.9752724874907879,0.10482525891160166
heart,"{'ccp_alpha': 0.71134195274865, 'max_depth': 3, 'min_samples_leaf': 33, 'min_samples_split': 6}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.926300878513349, 'max_depth': 26, 'min_samples_leaf': 41, 'min_samples_split': 29}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.8631034258755935, 'max_depth': 8, 'min_samples_leaf': 12, 'min_samples_split': 35}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.09541011649041131, 'max_depth': 23, 'min_samples_leaf': 23, 'min_samples_split': 25}",0.9905493312994462,0.9752724874907879,0.9752724874907879,0.0
heart,"{'ccp_alpha': 0.6659223566174967, 'max_depth': 12, 'min_samples_leaf': 40, 'min_samples_split': 23}",0.5,0.5,0.9752724874907879,0.4752724874907879
heart,"{'ccp_alpha': 0.8872127425763265, 'max_depth': 1, 'min_samples_leaf': 35, 'min_samples_split': 38}",0.5,0.5,0.9752724874907879,0.4752724874907879
