dataset,params,cv_roc_auc,test_roc_auc,mean_test_roc_auc,used_params,diff_from_mean
heart,"{'metric': 'minkowski', 'n_neighbors': 39, 'p': 2, 'weights': 'uniform'}",0.7392809195952401,0.7055001745471471,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.008746751483650894
heart,"{'metric': 'minkowski', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",0.7598348292798481,0.7300725340366937,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.01582560800589572
heart,"{'metric': 'minkowski', 'n_neighbors': 21, 'p': 1, 'weights': 'distance'}",0.7579416812837972,0.725767037740972,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.011520111710173975
heart,"{'metric': 'minkowski', 'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}",0.7489570923126317,0.7182421162871883,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.00399519025639028
heart,"{'metric': 'minkowski', 'n_neighbors': 11, 'p': 2, 'weights': 'uniform'}",0.73427498607896,0.6875993949032233,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.026647531127574675
heart,"{'metric': 'minkowski', 'n_neighbors': 36, 'p': 2, 'weights': 'distance'}",0.7424596975126786,0.7182421162871884,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.003995190256390391
heart,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.6725518058086923,0.6670222256700671,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.0472247003607309
heart,"{'metric': 'minkowski', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.6551812522648024,0.694270974748846,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.019975951281951954
heart,"{'metric': 'minkowski', 'n_neighbors': 30, 'p': 2, 'weights': 'distance'}",0.7447116508802274,0.7189015166207673,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.00465459058996931
heart,"{'metric': 'minkowski', 'n_neighbors': 21, 'p': 1, 'weights': 'distance'}",0.7579416812837972,0.725767037740972,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.011520111710173975
heart,"{'metric': 'minkowski', 'n_neighbors': 22, 'p': 1, 'weights': 'distance'}",0.7632093352137349,0.7264264380745509,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.012179512043752894
heart,"{'metric': 'minkowski', 'n_neighbors': 25, 'p': 1, 'weights': 'uniform'}",0.7554372090947152,0.7279585741437493,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.013711648112951336
heart,"{'metric': 'minkowski', 'n_neighbors': 42, 'p': 2, 'weights': 'distance'}",0.7452467276874183,0.7090105116170823,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.005236414413715695
heart,"{'metric': 'minkowski', 'n_neighbors': 16, 'p': 1, 'weights': 'distance'}",0.7572697439612136,0.7310034521546875,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.01675652612388956
heart,"{'metric': 'minkowski', 'n_neighbors': 47, 'p': 2, 'weights': 'uniform'}",0.7409778001432249,0.7029789379775805,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.011267988053217493
heart,"{'metric': 'minkowski', 'n_neighbors': 44, 'p': 1, 'weights': 'distance'}",0.7683513802920673,0.7430665994336915,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.028819673402893486
heart,"{'metric': 'minkowski', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.68557173338502,0.6603312516969861,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.053915674333811836
heart,"{'metric': 'minkowski', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.7445869657763282,0.6740622939373958,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.04018463209340217
heart,"{'metric': 'minkowski', 'n_neighbors': 39, 'p': 2, 'weights': 'distance'}",0.7440394033265845,0.7118420542259803,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.002404871804817632
heart,"{'metric': 'minkowski', 'n_neighbors': 25, 'p': 2, 'weights': 'distance'}",0.7453194676101642,0.714246926030798,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.0
heart,"{'metric': 'minkowski', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.7211326457254837,0.6725689461231139,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.04167797990768407
heart,"{'metric': 'minkowski', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",0.6551812522648024,0.694270974748846,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.019975951281951954
heart,"{'metric': 'minkowski', 'n_neighbors': 47, 'p': 2, 'weights': 'uniform'}",0.7409778001432249,0.7029789379775805,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.011267988053217493
heart,"{'metric': 'minkowski', 'n_neighbors': 44, 'p': 1, 'weights': 'distance'}",0.7683513802920673,0.7430665994336915,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.028819673402893486
heart,"{'metric': 'minkowski', 'n_neighbors': 47, 'p': 1, 'weights': 'distance'}",0.7728764105210744,0.7464799658663356,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.0322330398355376
heart,"{'metric': 'minkowski', 'n_neighbors': 17, 'p': 2, 'weights': 'distance'}",0.7371170695333376,0.7081571700089213,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.006089756021876669
heart,"{'metric': 'minkowski', 'n_neighbors': 40, 'p': 2, 'weights': 'distance'}",0.7453344976104337,0.7101741592645747,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.004072766766223257
heart,"{'metric': 'minkowski', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.7185112291604601,0.6909351848260347,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.023311741204763314
heart,"{'metric': 'minkowski', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",0.7058482478844326,0.6791629494589038,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.035083976571894215
heart,"{'metric': 'minkowski', 'n_neighbors': 18, 'p': 2, 'weights': 'distance'}",0.7360324184048326,0.7112602304022342,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.0029866956285637958
heart,"{'metric': 'minkowski', 'n_neighbors': 34, 'p': 2, 'weights': 'distance'}",0.743790118779601,0.7163027035413677,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.002055777510569734
heart,"{'metric': 'minkowski', 'n_neighbors': 36, 'p': 2, 'weights': 'uniform'}",0.7389792141023075,0.7136263139521353,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",0.0006206120786627078
heart,"{'metric': 'minkowski', 'n_neighbors': 48, 'p': 1, 'weights': 'distance'}",0.7728962537330751,0.7457429890229239,0.714246926030798,"{'n_neighbors': 25, 'p': 2, 'weights': 'distance', 'metric': 'minkowski'}",-0.03149606299212593
